Ticker,timestamp,Open,High,Low,Close,Volume,trade_count,vwap,Moving_Avg,Std_Dev,Upper_Band,Lower_Band,ATR,MACD,MACD_Signal,Bollinger_Width,ROC,ADX,RSI,CPI,Zinsen,Arbeitslosenquote,VIX,Oil_Price
PATK,2016-10-06 14:00:00,62.4,62.93,62.14,62.93,4587.0,54.0,62.478618,62.890499999999996,0.3635813373770487,63.617662674754094,62.1633373252459,1.6400000000000006,0.13930241732531812,0.2222929907994077,0.023124722327031836,0.03179144810046595,1.6850000000000023,56.34028892455866,241.741,0.4,4.9,12.84000015258789,50.439998626708984
PATK,2016-10-06 15:00:00,62.79,63.64,62.77,63.56,12540.0,141.0,63.076213,62.9535,0.42120231348947385,63.795904626978945,62.11109537302105,1.8200000000000003,0.19202322426820473,0.2162390374931671,0.026762757494943,1.0011123470522842,1.6650000000000023,64.80978260869573,241.741,0.4,4.9,12.84000015258789,50.439998626708984
PATK,2016-10-06 16:00:00,63.51,63.53,63.29,63.29,5631.0,63.0,63.400159,62.951499999999996,0.4193649299171789,63.790229859834355,62.11277014016564,1.8200000000000003,0.20960193940273797,0.21491161787508128,0.026646858608114474,-0.031590586005375336,1.645000000000002,55.41310541310545,241.741,0.4,4.9,12.84000015258789,50.439998626708984
PATK,2016-10-06 17:00:00,63.22,63.44,63.02,63.4325,15304.0,96.0,63.160008,62.98575000000001,0.44512802465507584,63.87600604931016,62.09549395068986,1.8200000000000003,0.2323533322927176,0.21839996075860857,0.028268490866907296,0.5428752575685434,1.6485714285714306,57.152635181382635,241.741,0.4,4.9,12.84000015258789,50.439998626708984
PATK,2016-10-06 18:00:00,63.51,64.02,63.445,63.79,14821.0,171.0,63.777756,63.046749999999996,0.5115472852044058,64.0698445704088,62.02365542959119,2.1999999999999957,0.27604911495816964,0.2299297915985208,0.03245510895990066,0.9654954099398535,1.6792857142857156,60.972568578553656,241.741,0.4,4.9,12.84000015258789,50.439998626708984
PATK,2016-10-06 19:00:00,63.725,64.45,63.725,64.26,44984.0,590.0,64.261083,63.134249999999994,0.6356209234546446,64.40549184690929,61.8630081530907,2.6300000000000026,0.3446307211495352,0.2528699775087237,0.04027106829998903,1.380452788514644,1.740714285714287,64.91031390134535,241.741,0.4,4.9,12.84000015258789,50.439998626708984
PATK,2016-10-06 20:00:00,64.32,64.32,64.32,64.32,12200.0,5.0,64.32,63.29124999999999,0.7186399674230365,64.72852993484607,61.853970065153916,2.6300000000000026,0.3992216579530279,0.28214031359758457,0.045417966459694654,2.5019920318724993,1.8021428571428584,62.19806763285017,241.741,0.4,4.9,12.84000015258789,50.439998626708984
PATK,2016-10-07 13:00:00,64.32,64.32,63.46,64.04,29946.0,283.0,63.91659,63.44525,0.6948525523047718,64.83495510460955,62.055544895390454,2.6300000000000026,0.4151066180360701,0.3087335744852817,0.04380801098930328,2.4640000000000097,1.8635714285714298,61.30952380952391,241.741,0.4,4.9,13.479999542236328,49.810001373291016
PATK,2016-10-07 14:00:00,63.95,64.14,63.39,63.41,29829.0,272.0,63.788054,63.53525,0.6138159898898513,64.7628819797797,62.307618020220296,2.6300000000000026,0.37256512957650756,0.32149988550352687,0.038644122114250126,1.4397696368581003,1.9250000000000012,52.426160337552716,241.741,0.4,4.9,13.479999542236328,49.810001373291016
PATK,2016-10-07 15:00:00,63.25,63.35,62.84,62.98,5503.0,56.0,63.124704,63.60125000000001,0.4920298799644126,64.58530975992883,62.61719024007118,2.6300000000000026,0.3006871528110153,0.3173373389650246,0.030944667280244517,1.059050064184847,1.9864285714285725,45.92145015105738,241.741,0.4,4.9,13.479999542236328,49.810001373291016
PATK,2016-10-07 16:00:00,62.86,62.99,62.7,62.89,3528.0,49.0,62.80963,63.597249999999995,0.49821688996305646,64.59368377992611,62.60081622007388,2.6300000000000026,0.23376637725046834,0.30062314662211337,0.031335750521480556,-0.06356268870173074,2.0857142857142867,51.58371040723983,241.741,0.4,4.9,13.479999542236328,49.810001373291016
PATK,2016-10-07 17:00:00,62.86,62.905,62.51,62.76,5127.0,65.0,62.765057,63.517250000000004,0.5646612184900606,64.64657243698012,62.387927563019886,2.6300000000000026,0.1683011955178344,0.2741587564012576,0.03555955073559129,-1.2586532410321023,2.1850000000000014,53.02325581395347,241.741,0.4,4.9,13.479999542236328,49.810001373291016
PATK,2016-10-07 18:00:00,62.72,62.78,62.61,62.62,7206.0,83.0,62.70117,63.45025,0.6305293741505449,64.7113087483011,62.18919125169891,2.6300000000000026,0.1039247574592963,0.24011195661286533,0.03974952812009701,-1.0586190551429953,2.2842857142857156,51.24153498871331,241.741,0.4,4.9,13.479999542236328,49.810001373291016
PATK,2016-10-07 19:00:00,62.67,62.67,62.3001,62.36,23788.0,292.0,62.468983,63.342999999999996,0.7189042588087377,64.78080851761747,61.90519148238252,2.3100000000000023,0.031562308752931756,0.19840202704087861,0.045397550403911295,-1.6907736570370049,2.3321428571428586,50.444444444444436,241.741,0.4,4.9,13.479999542236328,49.810001373291016
PATK,2016-10-07 20:00:00,62.37,62.37,62.37,62.37,70641.0,4.0,62.37,63.201,0.7598749897187056,64.72074997943741,61.68125002056259,2.1499000000000024,-0.024693881074021817,0.15378284541789852,0.04809259282091783,-2.226054240476566,2.3685642857142875,42.820512820512775,241.741,0.4,4.9,13.479999542236328,49.810001373291016
PATK,2016-10-10 13:00:00,62.88,63.99,62.7986,63.8,14715.0,101.0,63.558154,63.154999999999994,0.7002261539436148,64.55545230788722,61.754547692112766,2.1499000000000024,0.04558624235014719,0.13214352480434827,0.04434968911051313,-0.7158418923124928,2.392128571428573,52.55319148936165,241.741,0.4,4.9,13.380000114440918,49.810001373291016
